id,label
0,2
1,3
2,6
3,4
4,0
5,0
6,3
7,2
8,2
9,5
10,2
11,3
12,5
13,3
14,3
15,3
16,3
17,5
18,3
19,3
20,5
21,5
22,3
23,0
24,2
25,4
26,4
27,6
28,4
29,2
30,0
31,5
32,6
33,3
34,0
35,3
36,6
37,3
38,5
39,0
40,3
41,3
42,0
43,5
44,3
45,2
46,6
47,4
48,0
49,5
50,2
51,6
52,2
53,2
54,2
55,0
56,0
57,3
58,4
59,0
60,4
61,3
62,5
63,3
64,2
65,4
66,3
67,3
68,5
69,2
70,5
71,5
72,3
73,6
74,0
75,3
76,0
77,2
78,5
79,6
80,2
81,2
82,3
83,0
84,6
85,6
86,3
87,6
88,6
89,2
90,5
91,6
92,3
93,6
94,6
95,4
96,5
97,0
98,3
99,6
100,5
101,3
102,2
103,2
104,6
105,0
106,0
107,2
108,3
109,4
110,3
111,0
112,5
113,6
114,0
115,6
116,0
117,3
118,2
119,4
120,4
121,6
122,6
123,3
124,3
125,2
126,3
127,3
128,0
129,5
130,2
131,0
132,6
133,0
134,5
135,4
136,6
137,2
138,0
139,4
140,0
141,0
142,2
143,6
144,4
145,0
146,5
147,4
148,6
149,2
150,6
151,2
152,4
153,4
154,3
155,0
156,0
157,4
158,4
159,0
160,4
161,3
162,3
163,5
164,5
165,3
166,4
167,6
168,6
169,3
170,3
171,4
172,5
173,4
174,3
175,4
176,3
177,0
178,4
179,3
180,2
181,3
182,3
183,3
184,3
185,4
186,2
187,6
188,6
189,3
190,3
191,2
192,0
193,0
194,3
195,3
196,5
197,2
198,0
199,4
200,4
201,2
202,1
203,3
204,2
205,5
206,5
207,6
208,6
209,3
210,5
211,0
212,6
213,1
214,0
215,3
216,6
217,0
218,3
219,3
220,4
221,3
222,3
223,6
224,3
225,3
226,0
227,3
228,5
229,5
230,3
231,0
232,0
233,6
234,3
235,4
236,4
237,0
238,6
239,0
240,3
241,4
242,3
243,6
244,4
245,5
246,5
247,3
248,3
249,0
250,5
251,2
252,4
253,6
254,4
255,3
256,1
257,4
258,0
259,2
260,5
261,3
262,3
263,0
264,3
265,4
266,3
267,4
268,6
269,0
270,2
271,5
272,6
273,3
274,5
275,4
276,3
277,0
278,5
279,2
280,1
281,3
282,3
283,4
284,5
285,3
286,2
287,2
288,3
289,6
290,5
291,4
292,6
293,5
294,2
295,5
296,4
297,2
298,3
299,4
300,6
301,0
302,3
303,6
304,6
305,3
306,2
307,2
308,6
309,5
310,3
311,2
312,3
313,3
314,3
315,2
316,4
317,1
318,4
319,3
320,3
321,4
322,4
323,3
324,6
325,2
326,3
327,5
328,3
329,4
330,4
331,3
332,4
333,2
334,2
335,3
336,0
337,0
338,4
339,4
340,2
341,4
342,3
343,5
344,6
345,4
346,4
347,6
348,2
349,3
350,4
351,2
352,6
353,3
354,2
355,2
356,3
357,2
358,4
359,6
360,3
361,2
362,4
363,5
364,6
365,3
366,4
367,4
368,0
369,4
370,0
371,0
372,4
373,0
374,3
375,2
376,0
377,4
378,4
379,6
380,3
381,2
382,2
383,3
384,5
385,6
386,4
387,5
388,3
389,4
390,3
391,6
392,6
393,3
394,0
395,6
396,6
397,0
398,2
399,0
400,3
401,2
402,6
403,2
404,4
405,4
406,2
407,0
408,1
409,3
410,5
411,6
412,2
413,2
414,2
415,4
416,3
417,0
418,3
419,6
420,3
421,3
422,3
423,4
424,0
425,0
426,3
427,6
428,6
429,3
430,3
431,3
432,3
433,4
434,3
435,2
436,3
437,4
438,2
439,4
440,6
441,5
442,6
443,6
444,5
445,2
446,3
447,3
448,3
449,3
450,6
451,2
452,2
453,0
454,3
455,3
456,0
457,5
458,2
459,6
460,6
461,0
462,4
463,0
464,0
465,0
466,6
467,4
468,0
469,3
470,3
471,4
472,3
473,2
474,0
475,3
476,3
477,3
478,2
479,2
480,0
481,6
482,5
483,4
484,0
485,0
486,2
487,2
488,3
489,2
490,4
491,6
492,0
493,6
494,6
495,3
496,6
497,4
498,6
499,6
500,5
501,6
502,0
503,5
504,3
505,3
506,3
507,0
508,3
509,5
510,4
511,3
512,4
513,3
514,6
515,6
516,3
517,5
518,2
519,2
520,6
521,3
522,6
523,6
524,6
525,4
526,2
527,5
528,2
529,3
530,3
531,5
532,3
533,3
534,4
535,6
536,6
537,3
538,6
539,5
540,3
541,3
542,3
543,3
544,5
545,6
546,3
547,3
548,0
549,6
550,3
551,5
552,5
553,4
554,2
555,2
556,2
557,4
558,0
559,0
560,4
561,3
562,6
563,3
564,2
565,3
566,4
567,6
568,6
569,4
570,6
571,3
572,3
573,4
574,0
575,2
576,6
577,4
578,3
579,5
580,3
581,4
582,6
583,5
