id,label
0,0
1,0
2,0
3,1
4,1
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,0
13,0
14,1
15,1
16,1
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,1
28,1
29,0
30,0
31,0
32,1
33,0
34,1
35,0
36,1
37,0
38,0
39,1
40,1
41,0
42,1
43,1
44,1
45,0
46,0
47,0
48,0
49,1
50,1
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,1
71,0
72,0
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,1
102,1
103,0
104,0
105,1
106,1
107,1
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,1
116,1
117,0
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,1
151,1
152,1
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,1
174,1
175,0
176,0
177,1
178,0
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,1
193,0
194,0
195,0
196,1
197,1
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,0
224,1
225,0
226,1
227,0
228,0
229,1
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,1
244,0
245,1
246,0
247,1
248,0
249,1
250,0
251,0
252,0
253,1
254,0
255,1
256,1
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,1
268,0
269,0
270,0
271,0
272,1
273,1
274,0
275,1
276,0
277,0
278,0
279,1
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,1
289,0
290,0
291,1
292,0
293,0
294,1
295,0
296,0
297,1
298,0
299,0
300,1
301,0
302,0
303,0
304,1
305,0
306,0
307,0
308,1
309,0
310,0
311,0
312,1
313,1
314,0
315,1
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,1
324,1
325,1
326,1
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,1
336,0
337,0
338,0
339,0
340,1
341,0
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,1
350,0
351,0
352,0
353,1
354,0
355,0
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,0
364,0
365,0
366,1
367,0
368,1
369,1
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,1
384,1
385,0
386,0
387,0
388,1
389,1
390,0
391,0
392,0
393,1
394,0
395,0
396,1
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,1
417,0
418,0
419,0
420,0
421,1
422,1
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,0
431,0
432,1
433,0
434,1
435,1
436,0
437,0
438,1
439,1
440,0
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,1
466,0
467,0
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,0
476,0
477,1
478,1
479,0
480,1
481,0
482,0
483,0
484,1
485,0
486,0
487,1
488,0
489,0
490,0
491,1
492,0
493,0
494,1
495,0
496,0
497,0
498,1
499,1
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,1
509,1
510,1
511,0
512,1
513,1
514,0
515,0
516,0
517,0
518,0
519,0
520,1
521,1
522,0
523,1
524,0
525,0
526,0
527,0
528,0
529,1
530,1
531,0
532,1
